注意，我们在存储树的时候使用一个虚拟的根节点，存储在0号位。每一个树的根都以此为父亲。
Copyright 2021 HuaCL

	element	father	
0	NULL	-1
1	1	0	
2	A	1	
3	A	2	
4	A	3	
5	A	4	
6	B	3	
7	B	6	
8	B	2	
9	C	8	
10	B	1	
11	C	10	
12	D	11	
13	C	12	
14	D	12	
15	E	12	
16	C	1	
17	D	16	
18	E	17	
19	F	18	
20	G	18	
21	H	18	
22	I	18	
23	E	16	
24	F	23	
25	F	16	
26	G	25	
27	J	26	
28	K	26	
29	G	16	
30	H	29	
31	I	29	
32	2	0	
33	3	0	
34	B	33	
35	C	34	
36	D	35	
37	E	36	
38	4	0	
39	B	38	
40	D	39	
41	I	40	
42	Q	41	
43	J	40	
44	R	43	
45	E	39	
46	K	45	
47	L	45	
48	S	47	
49	T	47	
50	U	47	
51	C	38	
52	F	51	
53	M	52	
54	G	51	
55	N	54	
56	V	55	
57	H	51	
58	O	57	
59	W	58	
60	P	57	
61	X	60	
62	Y	60	
63	Z	60	

二叉树层次遍历结果：
1A2AB3ABCCB4ABCDDCBBCEEDDCDFFFEIEFEGGGQJKMGHJHRLNHIKISVOTWPUXYZ
